,RMSE,MAE,CC
0,0.13,0.09,0.096
1,0.16,0.1,0.132
2,0.19,0.12,0.158
3,0.2,0.13,0.161
4,0.23,0.15,0.19
5,0.26,0.17,0.212
6,0.27,0.18,0.222
7,0.3,0.2,0.243
