,RMSE,MAE,CC
0,0.13,0.08,0.092
1,0.14,0.09,0.099
2,0.15,0.1,0.112
3,0.17,0.11,0.131
4,0.21,0.14,0.16
5,0.22,0.15,0.16
6,0.24,0.17,0.173
7,0.27,0.19,0.191
