,RMSE,MAE,CC
0,0.13,0.08,0.093
1,0.16,0.11,0.124
2,0.17,0.12,0.13
3,0.19,0.13,0.15
4,0.25,0.17,0.197
5,0.25,0.17,0.187
6,0.3,0.21,0.226
7,0.33,0.23,0.238
