,RMSE,MAE,CC
0,0.13,0.09,0.096
1,0.16,0.1,0.128
2,0.19,0.12,0.154
3,0.2,0.13,0.156
4,0.22,0.14,0.178
5,0.24,0.16,0.193
6,0.25,0.17,0.198
7,0.26,0.17,0.212
