Pliegues,Random Forest,Linear Regression,Lasso,SVR,Gradient Boosting Regressor,Elastic Net
Fold 1,-42.863114260644636,-139.06010990847795,-42.304050157365374,-89.58550062911162,-37.10806348839242,-36.321996930772535
Fold 2,-26.565428993752732,-84.3429242447559,-17.841906376042484,-25.276891054406434,-34.350915200722525,-22.66579988268051
Fold 3,-4.467828785090907,-12.683311519147662,-2.18955650272628,-22.29188447752935,-0.737697420470127,-2.041702439927427
Fold 4,0.3643021401681321,-0.5566798045022032,-0.1846708233905685,-7.0206248590507165,0.3214696939331192,-0.26262890894211255
Fold 5,-0.4528154507598374,-0.3081193997265643,0.14304580427060432,-1.038992732873787,-0.669630192496832,-0.010931684709354572
Fold 6,-3.41225196670983,0.653112240327813,0.6138661969892396,0.6887389587952548,-3.409879475333475,0.627304606251541
Fold 7,-0.2597513978349424,0.07344229980075856,0.1327602478038964,0.07568600464714836,-0.2830032399177085,0.1251143277440966
Fold 8,-0.3802576560590696,0.5980600092901716,0.5927510107948808,0.6164364370496731,-0.49624050967978417,0.5837220015625975
Fold 9,-0.24310970144964972,0.4780930079999901,0.4874535143907993,0.45614295252741355,-0.2571299729785703,0.4874894165265353
Fold 10,-3.3980406741679934,-0.5584382809936548,-0.3901824795680222,-0.44187219633460373,-1.2964202628935175,-0.3498325826711901
