Fecha,Pruebas,Incidentes,H,H_UCI,Defunciones,Asint_H_<45,Asint_H_45a64,Asint_H_+65,Sint_H_<45,Sint_H_45a64,Sint_H_+65,Asint_M_<45,Asint_M_45a64,Asint_M_+65,Sint_M_<45,Sint_M_45a64,Sint_M_+65,Asintomaticos
2020-04-15,760.0,12.0,186.0,36.0,0.0,5.0,12.0,1.0,6.0,2.0,1.0,5.0,6.0,0.0,2.0,6.0,2.0,29.0
2020-04-16,581.0,1.0,160.0,34.0,2.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0
2020-04-17,474.0,8.0,152.0,36.0,4.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,6.0
2020-04-18,503.0,10.0,145.0,31.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0
2020-04-19,390.0,2.0,128.0,30.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-04-20,561.0,5.0,129.0,27.0,0.0,1.0,0.0,0.0,8.0,2.0,4.0,2.0,0.0,0.0,3.0,4.0,2.0,3.0
2020-04-21,730.0,9.0,127.0,25.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,4.0,6.0,0.0,7.0
2020-04-22,719.0,4.0,117.0,28.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
2020-04-23,662.0,9.0,105.0,22.0,1.0,1.0,3.0,0.0,5.0,5.0,1.0,3.0,4.0,0.0,5.0,2.0,0.0,11.0
2020-04-24,531.0,7.0,99.0,22.0,1.0,2.0,0.0,0.0,4.0,5.0,0.0,2.0,0.0,0.0,2.0,5.0,2.0,4.0
2020-04-25,443.0,2.0,95.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
2020-04-26,330.0,1.0,82.0,22.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-04-27,133.0,1.0,82.0,22.0,0.0,0.0,2.0,0.0,3.0,5.0,2.0,1.0,2.0,1.0,7.0,3.0,4.0,6.0
2020-04-28,557.0,6.0,71.0,20.0,0.0,5.0,3.0,1.0,7.0,9.0,3.0,6.0,3.0,0.0,9.0,4.0,2.0,18.0
2020-04-29,539.0,4.0,69.0,19.0,0.0,4.0,5.0,1.0,9.0,7.0,3.0,2.0,1.0,1.0,7.0,6.0,3.0,14.0
2020-04-30,627.0,4.0,71.0,19.0,2.0,2.0,0.0,1.0,10.0,8.0,3.0,3.0,3.0,2.0,16.0,16.0,3.0,11.0
2020-05-01,497.0,2.0,72.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-02,129.0,1.0,71.0,18.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0
2020-05-03,328.0,0.0,71.0,17.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0
2020-05-04,232.0,3.0,69.0,17.0,0.0,3.0,5.0,2.0,9.0,8.0,3.0,4.0,9.0,1.0,13.0,11.0,5.0,24.0
2020-05-05,636.0,2.0,66.0,15.0,1.0,7.0,1.0,1.0,11.0,9.0,4.0,3.0,2.0,0.0,14.0,14.0,7.0,14.0
2020-05-06,609.0,6.0,56.0,13.0,0.0,3.0,7.0,1.0,11.0,10.0,1.0,8.0,11.0,2.0,7.0,7.0,5.0,32.0
2020-05-07,659.0,2.0,58.0,11.0,1.0,6.0,3.0,0.0,7.0,4.0,3.0,4.0,9.0,3.0,8.0,13.0,2.0,25.0
2020-05-08,613.0,1.0,51.0,13.0,0.0,12.0,3.0,0.0,4.0,6.0,2.0,5.0,13.0,1.0,10.0,4.0,0.0,34.0
2020-05-09,426.0,7.0,45.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
2020-05-10,566.0,4.0,41.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2020-05-11,162.0,2.0,39.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2020-05-12,756.0,9.0,35.0,12.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-05-13,680.0,6.0,32.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-05-14,736.0,4.0,37.0,12.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0
2020-05-15,616.0,7.0,36.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
2020-05-16,803.0,5.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-17,446.0,3.0,32.0,9.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-05-18,276.0,1.0,37.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,604.0,3.0,35.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
2020-05-20,926.0,6.0,35.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
2020-05-21,875.0,6.0,33.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-22,912.0,4.0,30.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-23,810.0,3.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2020-05-24,726.0,2.0,21.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
2020-05-25,241.0,4.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-26,782.0,5.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-05-27,869.0,3.0,24.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-05-28,1630.0,5.0,24.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-05-29,837.0,2.0,23.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-30,714.0,0.0,23.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-31,318.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,826.0,2.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0
2020-06-02,938.0,5.0,27.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-03,902.0,9.0,27.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
2020-06-04,557.0,2.0,26.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-05,763.0,2.0,26.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-06,525.0,1.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-07,321.0,1.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-08,743.0,2.0,23.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-06-09,790.0,2.0,23.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-10,693.0,2.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-11,628.0,1.0,18.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,695.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-13,645.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,457.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,591.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-16,876.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2020-06-17,905.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-18,1111.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
2020-06-19,768.0,6.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
2020-06-20,834.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
2020-06-21,112.0,1.0,7.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-06-22,824.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-06-23,1101.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-24,1053.0,2.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2020-06-25,796.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-26,811.0,10.0,9.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0
2020-06-27,998.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0
2020-06-28,194.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
2020-06-29,883.0,4.0,9.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-06-30,672.0,11.0,14.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
2020-07-01,1539.0,4.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-07-02,702.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
2020-07-03,348.0,3.0,14.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-07-04,776.0,5.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-07-05,946.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-07-06,990.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-07-07,1031.0,8.0,17.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-07-08,906.0,11.0,18.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0
2020-07-09,932.0,7.0,18.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-07-10,826.0,9.0,18.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
