,RMSE,MAE,CC
0,0.13,0.08,0.093
1,0.14,0.09,0.106
2,0.16,0.11,0.119
3,0.18,0.12,0.138
4,0.22,0.15,0.171
5,0.23,0.16,0.166
6,0.25,0.17,0.183
7,0.28,0.19,0.201
