,RMSE,MAE,CC
0,0.21,0.13,0.14
1,0.21,0.14,0.139
2,0.22,0.14,0.141
3,0.22,0.14,0.139
4,0.22,0.14,0.143
5,0.22,0.14,0.145
6,0.22,0.14,0.15
7,0.22,0.14,0.15
