,RMSE,MAE,CC
0,0.21,0.13,0.148
1,0.22,0.14,0.168
2,0.22,0.14,0.17
3,0.23,0.14,0.176
4,0.23,0.14,0.176
5,0.23,0.15,0.178
6,0.23,0.15,0.181
7,0.23,0.15,0.185
