,RMSE,MAE,CC
0,0.13,0.09,0.097
1,0.16,0.1,0.135
2,0.2,0.13,0.165
3,0.21,0.13,0.165
4,0.23,0.15,0.193
5,0.26,0.17,0.21
6,0.27,0.17,0.215
7,0.28,0.19,0.233
