,RMSE,MAE,CC
0,0.22,0.14,0.153
1,0.23,0.15,0.159
2,0.23,0.15,0.162
3,0.23,0.15,0.163
4,0.23,0.15,0.164
5,0.23,0.15,0.165
6,0.24,0.15,0.167
7,0.24,0.16,0.169
