Errores,RF_lag3,RF_lag5,LR_lag3,LR_lag5,Lasso_lag3,Lasso_lag5,SVR_lag3,SVR_lag5,GBR_lag3,GBR_lag5,EN_lag3,EN_lag5
Train t+1,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02
Test t+1,0.15,0.15,0.11,0.11,0.1,0.09,0.1,0.09,0.14,0.14,0.1,0.09
