,RMSE,MAE,CC
0,0.23,0.14,0.141
1,0.23,0.15,0.139
2,0.23,0.15,0.138
3,0.23,0.15,0.139
4,0.23,0.15,0.139
5,0.24,0.15,0.141
6,0.24,0.16,0.143
7,0.24,0.16,0.145
