,RMSE,MAE,CC
0,0.13,0.08,0.095
1,0.14,0.09,0.104
2,0.15,0.1,0.11
3,0.17,0.11,0.125
4,0.21,0.14,0.16
5,0.21,0.14,0.155
6,0.24,0.16,0.177
7,0.27,0.19,0.199
