Pliegues,RF_lag3,RF_lag5,LR_lag3,LR_lag5,Lasso_lag3,Lasso_lag5,SVR_lag3,SVR_lag5,GBR_lag3,GBR_lag5,EN_lag3,EN_lag5
Fold 1,-29.69434193302079,-42.863114260644636,-467.38086251686434,-139.06010990847795,-32.93200568400498,-42.304050157365374,-68.90201818785307,-89.58550062911162,-26.941164012259947,-37.10806348839242,-25.73084726606035,-36.321996930772535
Fold 2,-12.057997314618545,-26.565428993752732,-38.29043648071891,-84.3429242447559,-35.962679093827056,-17.841906376042484,-39.63267592726783,-25.276891054406434,-10.38337788149397,-34.350915200722525,-31.13992658325337,-22.66579988268051
Fold 3,-2.497690479483137,-4.467828785090907,-3.245419259196632,-12.683311519147662,-2.2729207131316995,-2.18955650272628,-38.85604663646593,-22.29188447752935,-1.6615639344297248,-0.737697420470127,-2.098041367753936,-2.041702439927427
Fold 4,0.20858871448780736,0.3643021401681321,-0.5072921580615559,-0.5566798045022032,-0.11136590127830681,-0.1846708233905685,-2.748629137813233,-7.0206248590507165,0.31329639689137656,0.3214696939331192,-0.13380096617648762,-0.26262890894211255
Fold 5,-0.5505222591746015,-0.4528154507598374,0.04205696659298663,-0.3081193997265643,0.09125759038053738,0.14304580427060432,-0.49442270407470335,-1.038992732873787,-0.3753225924308614,-0.669630192496832,0.017846636310326014,-0.010931684709354572
Fold 6,-3.2500436026359054,-3.41225196670983,0.5962458333402634,0.653112240327813,0.5598305946003492,0.6138661969892396,0.5548075426427528,0.6887389587952548,-2.98636837653589,-3.409879475333475,0.558570211429806,0.627304606251541
Fold 7,-0.2539554214654218,-0.2597513978349424,0.026342976329146506,0.07344229980075856,0.0035980277642811975,0.1327602478038964,-0.08699873303384265,0.07568600464714836,-0.04867175078450092,-0.2830032399177085,0.00033844211010991554,0.1251143277440966
Fold 8,-0.479283750597556,-0.3802576560590696,0.5579433244391886,0.5980600092901716,0.5633080238710568,0.5927510107948808,0.5315923018166364,0.6164364370496731,-0.49429519664664956,-0.49624050967978417,0.5564855340202989,0.5837220015625975
Fold 9,0.03583560330559066,-0.24310970144964972,0.544993396891023,0.4780930079999901,0.5458151453441231,0.4874535143907993,0.5102470494351662,0.45614295252741355,0.08083248267956333,-0.2571299729785703,0.5506283516431127,0.4874894165265353
Fold 10,-2.836451355586936,-3.3980406741679934,0.050516100179787915,-0.5584382809936548,0.049110630326744564,-0.3901824795680222,0.053564571883685796,-0.44187219633460373,-1.4882050829850058,-1.2964202628935175,0.06763127957664605,-0.3498325826711901
