Fecha,Pruebas,Incidentes,H,H_UCI,Defunciones,Asintomaticos,Sintomaticos,Entradas,Salidas
2021-01-17,6564.0,1015.0,715.0,105.0,13.0,296.0,672.0,39439.928,43278.22
2021-01-18,9685.0,1838.0,852.0,119.0,18.0,354.0,1497.0,107937.79299999999,112305.429
2021-01-19,11926.0,2052.0,900.0,122.0,22.0,515.0,1470.0,110507.91699999999,111340.07
2021-01-20,11865.0,1870.0,970.0,130.0,23.0,449.0,1356.0,110807.573,109662.791
2021-01-21,9075.0,1500.0,1041.0,142.0,26.0,383.0,1092.0,112392.80300000001,109902.245
2021-01-22,9784.0,1467.0,1057.0,156.0,20.0,419.0,1019.0,111565.86799999999,107476.58000000002
2021-01-23,8344.0,1249.0,1068.0,155.0,20.0,429.0,792.0,59255.288,56671.50399999999
2021-01-24,5107.0,671.0,1073.0,158.0,29.0,214.0,432.0,37060.656,39767.505999999994
2021-01-25,9075.0,1385.0,1136.0,162.0,27.0,368.0,1025.0,107142.776,110819.54800000001
2021-01-26,10025.0,1387.0,1095.0,168.0,29.0,403.0,968.0,111896.49799999999,111576.861
2021-01-27,9609.0,1016.0,1130.0,167.0,24.0,290.0,681.0,112150.02100000001,111255.351
2021-01-28,8121.0,956.0,1090.0,175.0,30.0,303.0,621.0,114069.964,112916.08000000002
2021-01-29,8100.0,796.0,1098.0,176.0,25.0,256.0,520.0,115574.841,111566.433
2021-01-30,5654.0,679.0,1040.0,168.0,24.0,245.0,414.0,58031.058000000005,55030.962999999996
2021-01-31,2263.0,189.0,1045.0,167.0,20.0,56.0,128.0,36960.391,38320.914000000004
2021-02-01,6119.0,546.0,1081.0,173.0,23.0,137.0,395.0,110893.72099999999,114073.67300000001
2021-02-02,7623.0,709.0,1012.0,175.0,23.0,235.0,446.0,115885.629,115906.746
2021-02-03,6022.0,496.0,973.0,174.0,14.0,182.0,307.0,114609.49599999998,114039.07400000001
2021-02-04,4869.0,463.0,922.0,176.0,20.0,152.0,296.0,118639.134,118711.59100000001
2021-02-05,4673.0,379.0,876.0,165.0,11.0,119.0,248.0,121396.55900000001,116958.148
2021-02-06,3845.0,295.0,826.0,166.0,13.0,101.0,186.0,63283.297000000006,60825.121
2021-02-07,1619.0,107.0,821.0,165.0,12.0,40.0,67.0,40370.266,42518.274000000005
2021-02-08,4456.0,314.0,809.0,164.0,16.0,74.0,229.0,112659.082,116319.69499999999
2021-02-09,4504.0,306.0,720.0,157.0,13.0,98.0,177.0,115347.556,115327.92
2021-02-10,4411.0,214.0,682.0,152.0,14.0,63.0,149.0,115539.187,115675.963
2021-02-11,3749.0,211.0,627.0,147.0,16.0,64.0,141.0,119526.676,118440.604
2021-02-12,3721.0,297.0,580.0,138.0,15.0,98.0,180.0,120538.105,118081.027
2021-02-13,2635.0,124.0,534.0,132.0,10.0,45.0,77.0,65191.67600000001,63737.546
2021-02-14,1133.0,33.0,506.0,130.0,10.0,10.0,24.0,43297.638,45107.681
2021-02-15,3443.0,169.0,500.0,121.0,7.0,37.0,122.0,114882.41500000001,117229.07
2021-02-16,4158.0,192.0,463.0,119.0,9.0,73.0,115.0,117814.59099999999,118569.697
2021-02-17,3198.0,134.0,424.0,110.0,5.0,52.0,80.0,119319.76699999999,117136.211
2021-02-18,2702.0,126.0,407.0,112.0,9.0,36.0,90.0,121218.93299999999,121411.26199999999
2021-02-19,2208.0,141.0,383.0,109.0,8.0,52.0,83.0,123356.76699999999,119780.63299999999
2021-02-20,2374.0,96.0,342.0,106.0,10.0,26.0,63.0,68754.97099999999,66564.794
2021-02-21,979.0,34.0,319.0,105.0,4.0,13.0,24.0,46497.76,47808.634
2021-02-22,3305.0,114.0,351.0,107.0,4.0,30.0,86.0,120955.18,124646.90900000001
2021-02-23,3237.0,130.0,312.0,92.0,3.0,52.0,82.0,122639.589,121195.484
2021-02-24,2877.0,113.0,286.0,89.0,4.0,32.0,69.0,124676.372,124863.784
2021-02-25,2402.0,88.0,259.0,86.0,14.0,33.0,57.0,131143.85,128249.858
2021-02-26,2601.0,92.0,237.0,81.0,6.0,32.0,60.0,130495.728,126471.246
2021-02-27,1650.0,43.0,231.0,82.0,4.0,16.0,27.0,73285.85100000001,71385.928
2021-02-28,1214.0,59.0,229.0,80.0,2.0,17.0,35.0,49817.997,49735.53599999999
