Fuente: Servicio de Epidemiología. D.G. Salud Pública y Adicciones;;;;;;;;;;;;;;;;;
Los datos diarios mostrados en este fichero son provisionales y deben interpretarse con precaución por ser información dependiente del momento de su extracción, especialmente los datos referentes a los últimos 7 días según sintomatología;;;;;;;;;;;;;;;;;
El Servicio de Epidemiología de la Dirección General de Salud Pública y Adicciones no se responsabiliza de los resultados derivados del uso de estos datos por parte de los usuarios de los mismos. Además, cualquier usuario se compromete a citar, en cualquier publicación obtenida a partir de ellos, al Servicio de Epidemiología de la Dirección General de Salud Pública y Adicciones de la Consejería de Salud como fuente del dato primario, así como a que el grado de exactitud o fiabilidad de la información derivada por elaboración propia de los autores es de la exclusiva responsabilidad de estos.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Fecha;Pruebas_PCR_Ag;Casos_incidentes_PCR/Ag+;Hospitalizados;Hospitaliz_UCI;Defunciones;Asintomatico_hombre_<45años;Asintomatico_hombre_45a64años;Asintomatico_hombre_+65años;Sintomatico_hombre_<45años;Sintomatico_hombre_45a64años;Sintomatico_hombre_+65años;Asintomatico_mujer_<45años;Asintomatico_mujer_45a64años;Asintomatico_mujer_+65años;Sintomatico_mujer_<45años;Sintomatico_mujer_45a64años;Sintomatico_mujer_+65años
08/03/2020;130;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
09/03/2020;21;3;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0
10/03/2020;39;6;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0
11/03/2020;116;12;0;0;0;1;0;0;2;0;2;1;0;0;4;1;1
12/03/2020;136;9;4;1;0;3;1;0;3;1;1;1;0;0;1;0;1
13/03/2020;228;12;8;1;0;1;1;0;2;3;0;1;0;0;4;0;0
14/03/2020;196;23;8;2;0;1;2;0;3;2;4;1;0;1;3;6;1
15/03/2020;121;18;13;2;0;1;0;0;2;0;3;1;1;1;6;2;1
16/03/2020;147;24;18;3;0;1;1;0;4;2;2;3;0;0;3;3;0
17/03/2020;226;39;22;4;0;10;4;2;1;3;3;2;2;3;2;3;4
18/03/2020;282;28;36;6;0;3;8;0;0;4;1;6;1;2;0;2;2
19/03/2020;307;38;47;11;0;4;4;2;3;4;0;5;3;2;1;3;0
20/03/2020;333;35;61;14;1;10;7;1;3;5;1;2;4;3;5;3;2
21/03/2020;362;58;78;16;0;4;8;1;3;10;6;5;3;4;3;2;2
22/03/2020;346;50;80;23;2;3;4;1;1;3;3;1;6;2;0;3;2
23/03/2020;207;52;99;26;0;6;7;1;3;2;6;5;10;6;3;5;3
24/03/2020;496;113;127;33;4;6;8;3;8;9;19;4;2;6;11;12;40
25/03/2020;496;75;172;36;3;2;3;1;6;8;10;6;2;3;10;14;14
26/03/2020;728;119;209;53;9;6;4;2;9;14;12;7;3;4;10;15;11
27/03/2020;715;86;231;58;6;2;4;2;6;10;5;0;6;1;12;14;11
28/03/2020;517;62;260;57;6;3;2;2;5;6;12;4;4;0;7;9;7
29/03/2020;402;50;265;57;9;0;2;0;6;6;8;2;1;3;6;10;6
30/03/2020;250;46;283;59;3;3;2;1;0;5;5;1;2;9;10;3;8
31/03/2020;616;60;304;57;6;4;5;5;3;4;3;7;8;2;3;4;3
01/04/2020;598;34;287;58;4;2;0;2;1;4;0;4;4;1;10;3;5
02/04/2020;572;71;284;57;9;3;2;4;3;1;4;5;5;7;13;5;8
03/04/2020;460;38;284;57;6;1;0;3;3;8;3;0;1;1;9;7;7
04/04/2020;587;43;290;58;4;0;1;1;7;4;5;2;1;4;7;8;5
05/04/2020;331;18;298;53;14;2;4;2;1;0;0;2;1;2;2;3;0
06/04/2020;221;31;293;51;3;0;1;2;2;4;1;1;3;8;3;1;4
07/04/2020;540;25;273;50;4;0;2;3;1;6;3;3;3;3;2;5;2
08/04/2020;606;16;262;47;6;1;1;2;5;2;3;1;2;7;2;2;5
09/04/2020;546;40;244;49;2;1;0;4;0;5;5;0;0;12;4;3;8
10/04/2020;394;11;231;42;3;0;0;1;0;2;1;1;2;0;1;1;2
11/04/2020;306;7;220;44;4;1;1;4;0;0;2;0;1;12;3;2;1
12/04/2020;363;4;221;43;3;0;0;0;0;0;4;0;0;5;0;0;2
13/04/2020;455;6;211;41;1;2;0;0;3;2;4;1;1;1;2;5;1
14/04/2020;931;18;200;36;3;0;4;7;4;5;4;1;6;13;6;4;2
15/04/2020;760;12;186;36;0;5;12;1;6;2;1;5;6;0;2;6;2
16/04/2020;581;1;160;34;2;1;3;0;3;1;3;0;0;0;1;0;2
17/04/2020;474;8;152;36;4;1;1;1;2;6;1;1;1;1;3;3;0
18/04/2020;503;10;145;31;1;0;1;0;1;0;3;0;1;0;2;1;0
19/04/2020;390;2;128;30;2;0;0;0;1;0;0;2;0;0;0;0;0
20/04/2020;561;5;129;27;0;1;0;0;8;2;4;2;0;0;3;4;2
21/04/2020;730;9;127;25;1;2;0;1;0;3;1;2;1;1;4;6;0
22/04/2020;719;4;117;28;1;0;0;0;1;1;1;0;0;3;0;0;0
23/04/2020;662;9;105;22;1;1;3;0;5;5;1;3;4;0;5;2;0
24/04/2020;531;7;99;22;1;2;0;0;4;5;0;2;0;0;2;5;2
25/04/2020;443;2;95;22;1;1;0;0;0;0;1;0;0;0;2;0;0
26/04/2020;330;1;82;22;2;0;1;0;0;0;1;0;0;0;0;1;0
27/04/2020;133;1;82;22;0;0;2;0;3;5;2;1;2;1;7;3;4
28/04/2020;557;6;71;20;0;5;3;1;7;9;3;6;3;0;9;4;2
29/04/2020;539;4;69;19;0;4;5;1;9;7;3;2;1;1;7;6;3
30/04/2020;627;4;71;19;2;2;0;1;10;8;3;3;3;2;16;16;3
01/05/2020;497;2;72;20;1;0;0;1;0;0;0;0;0;0;0;0;0
02/05/2020;129;1;71;18;3;1;1;0;0;0;0;1;0;0;1;2;1
03/05/2020;328;0;71;17;0;0;2;1;0;0;0;0;1;0;0;0;2
04/05/2020;232;3;69;17;0;3;5;2;9;8;3;4;9;1;13;11;5
05/05/2020;636;2;66;15;1;7;1;1;11;9;4;3;2;0;14;14;7
06/05/2020;609;6;56;13;0;3;7;1;11;10;1;8;11;2;7;7;5
07/05/2020;659;2;58;11;1;6;3;0;7;4;3;4;9;3;8;13;2
08/05/2020;613;1;51;13;0;12;3;0;4;6;2;5;13;1;10;4;0
09/05/2020;426;7;45;13;0;0;1;0;2;0;0;0;1;1;0;0;0
10/05/2020;566;4;41;12;0;0;0;0;0;4;0;0;0;0;0;1;1
11/05/2020;162;2;39;12;0;0;0;0;1;0;0;1;0;0;1;0;0
12/05/2020;756;9;35;12;1;0;1;0;3;1;0;1;0;0;0;0;2
13/05/2020;680;6;32;12;0;0;0;1;1;0;0;1;0;0;0;0;2
14/05/2020;736;4;37;12;1;0;0;0;3;1;0;1;1;0;3;2;0
15/05/2020;616;7;36;9;0;0;0;0;2;0;0;1;0;0;2;0;0
16/05/2020;803;5;32;9;0;0;0;0;0;0;0;0;0;0;1;0;0
17/05/2020;446;3;32;9;1;1;0;0;2;0;0;0;0;0;0;1;0
18/05/2020;276;1;37;8;0;0;0;0;3;0;0;0;0;0;0;0;0
19/05/2020;604;3;35;7;0;0;1;0;0;0;1;0;0;0;2;0;1
20/05/2020;926;6;35;7;0;0;0;0;0;1;0;0;0;0;2;1;1
21/05/2020;875;6;33;6;1;0;0;0;1;0;0;0;0;0;1;0;0
22/05/2020;912;4;30;3;0;1;0;0;0;2;0;0;0;0;0;0;0
23/05/2020;810;3;31;7;0;0;0;0;0;0;0;1;0;0;1;1;0
24/05/2020;726;2;21;4;0;0;0;0;1;1;0;0;0;0;2;2;0
25/05/2020;241;4;25;4;0;0;0;0;0;0;0;0;0;0;0;0;0
26/05/2020;782;5;26;4;0;0;0;0;0;0;0;0;0;0;0;2;1
27/05/2020;869;3;24;4;0;0;0;0;1;0;0;1;0;0;0;1;0
28/05/2020;1630;5;24;4;0;3;0;0;1;0;0;0;0;0;0;0;0
29/05/2020;837;2;23;4;0;0;1;0;1;0;0;0;0;0;0;0;0
30/05/2020;714;0;23;4;0;1;0;0;0;0;0;0;0;0;0;0;0
31/05/2020;318;0;23;4;0;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2020;826;2;26;4;0;0;0;0;0;1;0;2;1;0;0;0;0
02/06/2020;938;5;27;4;0;2;0;0;0;0;1;0;0;0;0;0;0
03/06/2020;902;9;27;4;0;1;0;0;1;0;0;0;0;0;2;1;0
04/06/2020;557;2;26;4;0;0;1;0;1;0;0;0;0;0;0;0;0
05/06/2020;763;2;26;4;0;0;0;0;1;1;0;0;0;0;0;0;0
06/06/2020;525;1;26;4;0;0;0;0;0;0;0;0;0;0;1;0;0
07/06/2020;321;1;26;4;0;0;0;0;0;0;0;0;0;0;1;0;0
08/06/2020;743;2;23;4;1;2;0;0;1;0;0;0;0;0;0;1;0
09/06/2020;790;2;23;4;0;0;0;0;1;0;0;0;0;0;1;0;0
10/06/2020;693;2;18;4;0;0;0;0;0;1;0;0;0;0;0;0;0
11/06/2020;628;1;18;4;0;0;0;0;1;0;0;0;0;0;0;0;0
12/06/2020;695;0;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0
13/06/2020;645;1;10;3;0;0;0;0;1;0;0;0;0;0;0;0;0
14/06/2020;457;0;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0
15/06/2020;591;1;8;2;0;0;0;0;0;0;0;0;0;0;1;0;0
16/06/2020;876;4;7;2;0;0;0;0;0;0;0;0;1;0;1;0;0
17/06/2020;905;3;7;2;0;0;0;0;0;1;1;1;0;0;0;0;0
18/06/2020;1111;6;6;2;0;0;0;0;1;0;0;0;1;0;1;2;0
19/06/2020;768;6;7;2;0;1;0;0;0;0;1;0;0;0;2;0;0
20/06/2020;834;7;7;2;0;0;0;0;0;0;0;1;1;0;1;1;0
21/06/2020;112;1;7;2;0;1;0;1;0;0;0;0;0;0;0;1;1
22/06/2020;824;1;7;2;0;0;0;0;0;0;0;0;0;0;0;1;0
23/06/2020;1101;3;7;2;0;0;0;0;0;1;0;1;0;0;0;0;0
24/06/2020;1053;2;7;2;0;0;1;0;0;0;0;0;0;0;1;0;0
25/06/2020;796;3;9;1;0;0;0;0;3;0;0;0;0;0;1;0;0
26/06/2020;811;10;9;1;0;2;0;0;1;0;0;1;0;0;3;1;0
27/06/2020;998;9;9;1;0;0;0;0;0;0;0;1;1;0;3;1;0
28/06/2020;194;1;9;1;0;0;0;1;0;0;0;1;0;0;1;1;0
29/06/2020;883;4;9;1;0;4;0;0;0;0;0;0;0;0;0;0;0
30/06/2020;672;11;14;1;0;3;0;0;3;1;0;0;0;0;1;0;0
01/07/2020;1539;4;13;1;1;0;0;0;1;0;0;1;0;0;0;1;0
02/07/2020;702;5;13;1;0;0;0;0;1;0;0;0;0;0;4;1;0
03/07/2020;348;3;14;1;0;2;0;0;0;0;0;1;0;0;0;0;0
04/07/2020;776;5;14;1;0;0;0;0;0;1;0;2;0;0;0;0;0
05/07/2020;946;2;13;2;0;0;0;0;0;0;0;1;0;1;0;0;0
06/07/2020;990;4;12;2;0;0;0;0;0;1;0;1;0;0;0;1;0
07/07/2020;1031;8;17;3;0;0;1;0;4;0;1;0;0;1;0;1;0
08/07/2020;906;11;18;3;0;2;0;0;4;0;0;0;0;0;4;1;0
09/07/2020;932;7;18;2;0;0;0;0;1;0;2;2;0;0;0;1;0
10/07/2020;826;9;18;2;0;0;1;0;3;1;1;0;0;0;0;3;0
11/07/2020;843;21;22;2;0;5;1;0;1;0;1;4;1;0;5;1;0
12/07/2020;719;7;21;0;0;0;0;0;0;1;0;1;1;1;5;0;0
13/07/2020;1052;4;20;0;0;0;0;0;2;1;0;1;0;0;0;0;0
14/07/2020;1193;6;20;0;0;0;0;0;3;0;0;0;0;0;1;0;0
15/07/2020;1111;5;19;0;0;2;0;0;0;0;0;1;0;0;1;1;0
16/07/2020;938;22;21;1;0;1;0;0;2;1;1;2;0;0;8;2;2
17/07/2020;848;25;21;1;0;1;0;0;8;2;0;2;0;0;9;1;0
18/07/2020;0;20;21;1;0;5;0;0;2;3;0;1;0;0;2;1;1
19/07/2020;532;20;20;1;0;5;0;0;5;1;0;3;3;0;11;0;1
20/07/2020;2097;13;20;1;0;1;0;0;4;0;0;0;0;0;7;0;0
21/07/2020;1637;30;16;1;0;3;1;1;6;2;0;2;0;1;13;2;0
22/07/2020;1320;75;16;1;0;13;1;0;23;1;0;6;2;0;22;4;0
23/07/2020;1478;61;16;1;0;12;3;0;23;3;0;8;1;0;17;4;0
24/07/2020;1427;55;18;2;0;28;0;0;10;1;0;10;1;1;13;3;0
25/07/2020;1466;66;19;2;0;19;3;0;11;5;0;18;1;1;10;2;1
26/07/2020;1039;49;25;2;0;9;1;1;12;0;2;5;1;0;10;1;0
